Pile ID,Pile Color,Y,X,Required Top of Pile Elevation
1.02-S1.R020.A,White,13697856.579523,2996059.327288,80.709577
1.02-S1.R020.B,White,13697835.833501,2996059.327288,80.672697
1.02-S1.R020.C,Red,13697808.355210,2996059.327288,80.623848
1.02-S1.R020.D,Red,13697780.876918,2996059.327288,80.575000
1.02-S1.R020.E,Red,13697753.398627,2996059.327288,80.526152
1.02-S1.R020.F,Red,13697725.920007,2996059.327288,80.477303
1.02-S1.R020.G,Purple,13697699.146439,2996059.327288,80.429707
1.02-S1.R020.H,Red,13697672.372870,2996059.327288,80.382112
1.02-S1.R020.I,Red,13697644.894579,2996059.327288,80.333263
1.02-S1.R020.J,Red,13697617.416287,2996059.327288,80.284415
1.02-S1.R020.K,Red,13697589.937996,2996059.327288,80.235566
1.02-S1.R020.L,Red,13697565.825839,2996059.327288,80.192702
1.02-S1.R021.A,Red,13697856.579523,2996079.327248,80.642400
1.02-S1.R021.B,Red,13697835.833501,2996079.327248,80.590525
1.02-S1.R021.C,Red,13697808.355210,2996079.327248,80.521850
1.02-S1.R021.D,Red,13697780.876918,2996079.327248,80.453150
1.02-S1.R021.E,Red,13697753.398627,2996079.327248,80.384450
1.02-S1.R021.F,Red,13697725.920007,2996079.327248,80.315750
1.02-S1.R021.G,Brown,13697699.146439,2996079.327248,80.248825
1.02-S1.R021.H,Red,13697672.372870,2996079.327248,80.181875
1.02-S1.R021.I,Red,13697644.894579,2996079.327248,80.113175
1.02-S1.R021.J,Red,13697617.416287,2996079.327248,80.044500
1.02-S1.R021.K,Red,13697589.937996,2996079.327248,79.975800
1.02-S1.R021.L,Red,13697565.825839,2996079.327248,79.915525
1.02-S1.R022.A,Light Blue,13697856.579523,2996099.327208,80.717375
1.02-S1.R022.B,Light Green,13697835.833501,2996099.327208,80.665500
1.02-S1.R022.C,Light Blue,13697808.355210,2996099.327208,80.596825
1.02-S1.R022.D,Yellow,13697780.876918,2996099.327208,80.528125
1.02-S1.R022.E,Yellow,13697753.398627,2996099.327208,80.459425
