Pilecode,N,E
1.1.A.LBL,13692101.5244,3011867.3505
1.1.B.LBL,13692080.7784,3011867.3505
1.1.C.LBL,13692053.3001,3011867.3505
1.1.D.LBL,13692025.8218,3011867.3505
1.1.E.LBL,13691998.3435,3011867.3505
1.1.F.LBL,13691970.8652,3011867.3505
1.1.G.PRP,13691944.0913,3011867.3505
1.1.H.LBL,13691917.3178,3011867.3505
1.1.I.ORA,13691889.8395,3011867.3505
1.1.J.LBL,13691862.3612,3011867.3505
1.1.K.LBL,13691834.8829,3011867.3505
1.1.L.LBL,13691810.7707,3011867.3505
1.2.A.LBL,13692101.5244,3011887.3504
1.2.B.LBL,13692080.7784,3011887.3504
1.2.C.LBL,13692053.3001,3011887.3504
1.2.D.LBL,13692025.8218,3011887.3504
1.2.E.LBL,13691998.3435,3011887.3504
1.2.F.LBL,13691970.8652,3011887.3504
1.2.G.PNK,13691944.0913,3011887.3504
1.2.H.ORA,13691917.3178,3011887.3504
1.2.I.LBL,13691889.8395,3011887.3504
1.2.J.LBL,13691862.3612,3011887.3504
1.2.K.LBL,13691834.8829,3011887.3504
1.2.L.LBL,13691810.7707,3011887.3504
1.3.A.LBL,13692101.5244,3011907.3504
1.3.B.LBL,13692080.7784,3011907.3504
1.3.C.LBL,13692053.3001,3011907.3504
1.3.D.LBL,13692025.8218,3011907.3504
1.3.E.LBL,13691998.3435,3011907.3504
1.3.F.ORA,13691970.8652,3011907.3504
1.3.G.PNK,13691944.0913,3011907.3504
1.3.H.ORA,13691917.3178,3011907.3504
1.3.I.LBL,13691889.8395,3011907.3504
1.3.J.LBL,13691862.3612,3011907.3504
1.3.K.LBL,13691834.8829,3011907.3504
1.3.L.YEL,13691810.7707,3011907.3504
1.4.A.LBL,13692101.5244,3011927.3503
1.4.B.LBL,13692080.7784,3011927.3503
1.4.C.LBL,13692053.3001,3011927.3503
1.4.D.LBL,13692025.8218,3011927.3503
1.4.E.LBL,13691998.3435,3011927.3503
1.4.F.LBL,13691970.8652,3011927.3503
1.4.G.DBL,13691944.0913,3011927.3503
1.4.H.LBL,13691917.3178,3011927.3503
1.4.I.LBL,13691889.8395,3011927.3503
1.4.J.LBL,13691862.3612,3011927.3503
1.4.K.LBL,13691834.8829,3011927.3503
1.4.L.LBL,13691810.7707,3011927.3503
1.5.A.LBL,13692101.5244,3011947.3506
1.5.B.LBL,13692080.7784,3011947.3506
1.5.C.LBL,13692053.3001,3011947.3506
1.5.D.LBL,13692025.8218,3011947.3506
1.5.E.LBL,13691998.3435,3011947.3506
1.5.F.LBL,13691970.8652,3011947.3506
1.5.G.DBL,13691944.0913,3011947.3506
1.5.H.LBL,13691917.3178,3011947.3506
1.5.I.LBL,13691889.8395,3011947.3506
1.5.J.LBL,13691862.3612,3011947.3506
1.5.K.LBL,13691834.8829,3011947.3506
1.5.L.LBL,13691810.7707,3011947.3506
1.6.A.LBL,13692101.5244,3011967.3506
1.6.B.LBL,13692080.7784,3011967.3506
1.6.C.LBL,13692053.3001,3011967.3506
1.6.D.LBL,13692025.8218,3011967.3506
1.6.E.LBL,13691998.3435,3011967.3506
1.6.F.LBL,13691970.8652,3011967.3506
1.6.G.DBL,13691944.0913,3011967.3506
1.6.H.LBL,13691917.3178,3011967.3506
1.6.I.LBL,13691889.8395,3011967.3506
1.6.J.LBL,13691862.3612,3011967.3506
1.6.K.LBL,13691834.8829,3011967.3506
1.6.L.LBL,13691810.7707,3011967.3506
1.7.A.LBL,13692101.5244,3011987.3506
1.7.B.LBL,13692080.7784,3011987.3506
1.7.C.LBL,13692053.3001,3011987.3506
1.7.D.LBL,13692025.8218,3011987.3506
1.7.E.LBL,13691998.3435,3011987.3506
1.7.F.LBL,13691970.8652,3011987.3506
1.7.G.DBL,13691944.0913,3011987.3506
1.7.H.LBL,13691917.3178,3011987.3506
1.7.I.LBL,13691889.8395,3011987.3506
1.7.J.LBL,13691862.3612,3011987.3506
1.7.K.LBL,13691834.8829,3011987.3506
1.7.L.LBL,13691810.7707,3011987.3506
1.8.A.LBL,13692101.5244,3012007.3505
1.8.B.LBL,13692080.7784,3012007.3505
1.8.C.LBL,13692053.3001,3012007.3505
1.8.D.LBL,13692025.8218,3012007.3505
1.8.E.LBL,13691998.3435,3012007.3505
1.8.F.LBL,13691970.8652,3012007.3505
1.8.G.DBL,13691944.0913,3012007.3505
1.8.H.LBL,13691917.3178,3012007.3505
1.8.I.LBL,13691889.8395,3012007.3505
1.8.J.LBL,13691862.3612,3012007.3505
1.8.K.LBL,13691834.8829,3012007.3505
1.8.L.LBL,13691810.7707,3012007.3505
1.9.A.LBL,13692101.5244,3012027.3505
1.9.B.LBL,13692080.7784,3012027.3505
1.9.C.LBL,13692053.3001,3012027.3505
1.9.D.LBL,13692025.8218,3012027.3505
1.9.E.LBL,13691998.3435,3012027.3505
1.9.F.LBL,13691970.8652,3012027.3505
1.9.G.DBL,13691944.0913,3012027.3505
1.9.H.LBL,13691917.3178,3012027.3505
1.9.I.LBL,13691889.8395,3012027.3505
1.9.J.LBL,13691862.3612,3012027.3505
1.9.K.LBL,13691834.8829,3012027.3505
1.9.L.LBL,13691810.7707,3012027.3505
1.10.A.YEL,13692101.5244,3012047.3504
1.10.B.LBL,13692080.7784,3012047.3504
1.10.C.LBL,13692053.3001,3012047.3504
1.10.D.LBL,13692025.8218,3012047.3504
1.10.E.LBL,13691998.3435,3012047.3504
1.10.F.LBL,13691970.8652,3012047.3504
1.10.G.DBL,13691944.0913,3012047.3504
1.10.H.LBL,13691917.3178,3012047.3504
1.10.I.LBL,13691889.8395,3012047.3504
1.10.J.LBL,13691862.3612,3012047.3504
1.10.K.LBL,13691834.8829,3012047.3504
1.10.L.LBL,13691810.7707,3012047.3504
1.11.A.YEL,13692101.5244,3012067.3504
1.11.B.LBL,13692080.7784,3012067.3504
1.11.C.YEL,13692053.3001,3012067.3504
1.11.D.LBL,13692025.8218,3012067.3504
1.11.E.LBL,13691998.3435,3012067.3504
1.11.F.LBL,13691970.8652,3012067.3504
1.11.G.DBL,13691944.0913,3012067.3504
1.11.H.LBL,13691917.3178,3012067.3504
1.11.I.LBL,13691889.8395,3012067.3504
1.11.J.LBL,13691862.3612,3012067.3504
1.11.K.LBL,13691834.8829,3012067.3504
1.11.L.LBL,13691810.7707,3012067.3504
1.12.A.LBL,13692101.5244,3012087.3504
1.12.B.LBL,13692080.7784,3012087.3504
1.12.C.LBL,13692053.3001,3012087.3504
1.12.D.LBL,13692025.8218,3012087.3504
1.12.E.LBL,13691998.3435,3012087.3504
