id,northing,easting,z,color
08.S4.R15.A,2165561.57,6531715.14,0,Blue - Black
08.S4.R15.B,2165531.96,6531715.14,0,Blue - White
08.S4.R15.C,2165502.34,6531715.14,0,Blue - White
08.S4.R15.D,2165468.6,6531715.14,0,Blue - White
08.S4.R15.E,2165434.85,6531715.14,0,Pink - White
08.S4.R15.F,2165401.1,6531715.14,0,Pink - White
08.S4.R15.G,2165368.83,6531715.14,0,Green
08.S4.R15.H,2165336.55,6531715.14,0,Pink - White
08.S4.R15.I,2165302.81,6531715.14,0,Pink - White
08.S4.R15.J,2165269.06,6531715.14,0,Blue - White
08.S4.R15.K,2165239.45,6531715.14,0,Blue - White
08.S4.R15.L,2165209.84,6531715.14,0,Blue - Black
08.S4.R16.A,2165562.05,6531733.14,0,Blue - Black
08.S4.R16.B,2165532.44,6531733.14,0,Blue - White
08.S4.R16.C,2165502.83,6531733.14,0,Blue - White
08.S4.R16.D,2165469.08,6531733.14,0,Blue - White
08.S4.R16.E,2165435.33,6531733.14,0,Pink - White
08.S4.R16.F,2165401.58,6531733.14,0,Pink - White
08.S4.R16.G,2165369.31,6531733.14,0,Green
08.S4.R16.H,2165337.04,6531733.14,0,Pink - White
08.S4.R16.I,2165303.29,6531733.14,0,Pink - White
08.S4.R16.J,2165269.54,6531733.14,0,Blue - White
08.S4.R16.K,2165239.93,6531733.14,0,Blue - White
08.S4.R16.L,2165210.32,6531733.14,0,Blue - Black
08.S4.R17.A,2165562.53,6531751.14,0,Blue - Black
08.S4.R17.B,2165532.92,6531751.14,0,Blue - White
08.S4.R17.C,2165503.31,6531751.14,0,Blue - White
08.S4.R17.D,2165469.56,6531751.14,0,Blue - White
08.S4.R17.E,2165435.81,6531751.14,0,Pink - White
08.S4.R17.F,2165402.06,6531751.14,0,Pink - White
08.S4.R17.G,2165369.79,6531751.14,0,Green
08.S4.R17.H,2165337.52,6531751.14,0,Pink - White
08.S4.R17.I,2165303.77,6531751.14,0,Pink - White
08.S4.R17.J,2165270.02,6531751.14,0,Blue - White
08.S4.R17.K,2165240.41,6531751.14,0,Blue - White
08.S4.R17.L,2165210.8,6531751.14,0,Blue - Black
08.S4.R18.A,2165563.01,6531769.14,0,Blue - Black
08.S4.R18.B,2165533.4,6531769.14,0,Blue - White
08.S4.R18.C,2165503.79,6531769.14,0,Blue - White
08.S4.R18.D,2165470.04,6531769.14,0,Blue - White
08.S4.R18.E,2165436.29,6531769.14,0,Pink - White
08.S4.R18.F,2165402.55,6531769.14,0,Pink - White
08.S4.R18.G,2165370.27,6531769.14,0,Green
08.S4.R18.H,2165338,6531769.14,0,Pink - White
08.S4.R18.I,2165304.25,6531769.14,0,Pink - White
08.S4.R18.J,2165270.5,6531769.14,0,Blue - White
08.S4.R18.K,2165240.89,6531769.14,0,Blue - White
08.S4.R18.L,2165211.28,6531769.14,0,Blue - Black
08.S4.R19.A,2165563.5,6531787.14,0,Blue - Black
08.S4.R19.B,2165533.89,6531787.14,0,Blue - White
08.S4.R19.C,2165504.27,6531787.14,0,Blue - White
08.S4.R19.D,2165470.53,6531787.14,0,Blue - White
08.S4.R19.E,2165436.78,6531787.14,0,Pink - White
08.S4.R19.F,2165403.03,6531787.14,0,Pink - White
08.S4.R19.G,2165370.76,6531787.14,0,Green
08.S4.R19.H,2165338.48,6531787.14,0,Pink - White
08.S4.R19.I,2165304.74,6531787.14,0,Pink - White
08.S4.R19.J,2165270.99,6531787.14,0,Blue - White
08.S4.R19.K,2165241.38,6531787.14,0,Blue - White
08.S4.R19.L,2165211.76,6531787.14,0,Blue - Black
08.S4.R20.A,2165563.98,6531805.14,0,Blue - Black
08.S4.R20.B,2165534.37,6531805.14,0,Blue - White
08.S4.R20.C,2165504.76,6531805.14,0,Blue - White
08.S4.R20.D,2165471.01,6531805.14,0,Blue - White
08.S4.R20.E,2165437.26,6531805.14,0,Pink - White
08.S4.R20.F,2165403.51,6531805.14,0,Pink - White
08.S4.R20.G,2165371.24,6531805.14,0,Green
08.S4.R20.H,2165338.97,6531805.14,0,Pink - White
08.S4.R20.I,2165305.22,6531805.14,0,Pink - White
08.S4.R20.J,2165271.47,6531805.14,0,Blue - White
08.S4.R20.K,2165241.86,6531805.14,0,Blue - White
08.S4.R20.L,2165212.25,6531805.14,0,Blue - Black
08.S4.R21.A,2165564.46,6531823.14,0,Blue - Black
08.S4.R21.B,2165534.85,6531823.14,0,Blue - White
08.S4.R21.C,2165505.24,6531823.14,0,Blue - White
08.S4.R21.D,2165471.49,6531823.14,0,Blue - White
08.S4.R21.E,2165437.74,6531823.14,0,Pink - White
08.S4.R21.F,2165403.99,6531823.14,0,Pink - White
08.S4.R21.G,2165371.72,6531823.14,0,Green
08.S4.R21.H,2165339.45,6531823.14,0,Pink - White
