ID,N,E,Z,Color
E4.09.S3.R07.A,2165571.21,6532075.14,0,Blue - Black
E4.09.S3.R07.B,2165541.6,6532075.14,0,Blue - White
E4.09.S3.R07.C,2165511.99,6532075.14,0,Blue - White
E4.09.S3.R07.D,2165478.24,6532075.14,0,Blue - White
E4.09.S3.R07.E,2165444.49,6532075.14,0,Pink - White
E4.09.S3.R07.F,2165410.75,6532075.14,0,Pink - White
E4.09.S3.R07.G,2165378.47,6532075.14,0,Green
E4.09.S3.R07.H,2165346.2,6532075.14,0,Pink - White
E4.09.S3.R07.I,2165312.45,6532075.14,0,Pink - White
E4.09.S3.R07.J,2165278.7,6532075.14,0,Blue - White
E4.09.S3.R07.K,2165249.09,6532075.14,0,Blue - White
E4.09.S3.R07.L,2165219.48,6532075.14,0,Blue - Black
E4.09.S3.R08.A,2165571.7,6532093.14,0,Blue - Black
E4.09.S3.R08.B,2165542.09,6532093.14,0,Blue - White
E4.09.S3.R08.C,2165512.47,6532093.14,0,Blue - White
E4.09.S3.R08.D,2165478.73,6532093.14,0,Blue - White
E4.09.S3.R08.E,2165444.98,6532093.14,0,Pink - White
E4.09.S3.R08.F,2165411.23,6532093.14,0,Pink - White
E4.09.S3.R08.G,2165378.96,6532093.14,0,Green
E4.09.S3.R08.H,2165346.68,6532093.14,0,Pink - White
E4.09.S3.R08.I,2165312.94,6532093.14,0,Pink - White
E4.09.S3.R08.J,2165279.19,6532093.14,0,Blue - White
E4.09.S3.R08.K,2165249.58,6532093.14,0,Blue - White
E4.09.S3.R08.L,2165219.96,6532093.14,0,Blue - Black
E4.09.S3.R09.A,2165572.18,6532111.14,0,Blue - Black
E4.09.S3.R09.B,2165542.57,6532111.14,0,Blue - White
E4.09.S3.R09.C,2165512.96,6532111.14,0,Blue - White
E4.09.S3.R09.D,2165479.21,6532111.14,0,Blue - White
E4.09.S3.R09.E,2165445.46,6532111.14,0,Pink - White
E4.09.S3.R09.F,2165411.71,6532111.14,0,Pink - White
E4.09.S3.R09.G,2165379.44,6532111.14,0,Green
E4.09.S3.R09.H,2165347.17,6532111.14,0,Pink - White
E4.09.S3.R09.I,2165313.42,6532111.14,0,Pink - White
E4.09.S3.R09.J,2165279.67,6532111.14,0,Blue - White
E4.09.S3.R09.K,2165250.06,6532111.14,0,Blue - White
E4.09.S3.R09.L,2165220.45,6532111.14,0,Blue - Black
E4.09.S3.R10.A,2165572.66,6532129.14,0,Blue - Black
E4.09.S3.R10.B,2165543.05,6532129.14,0,Blue - White
E4.09.S3.R10.C,2165513.44,6532129.14,0,Blue - White
E4.09.S3.R10.D,2165479.69,6532129.14,0,Blue - White
E4.09.S3.R10.E,2165445.94,6532129.14,0,Pink - White
E4.09.S3.R10.F,2165412.19,6532129.14,0,Pink - White
E4.09.S3.R10.G,2165379.92,6532129.14,0,Green
E4.09.S3.R10.H,2165347.65,6532129.14,0,Pink - White
