Name,Latitude,Longitude,Special WP,Dominant
E4.01.S1.R03.A,34.94832549,-118.098087,0,"pink - black"
E4.01.S1.R04.A,34.94832686,-118.098027,0,"pink - black"
E4.01.S1.R05.A,34.94832822,-118.0979669,0,"pink - black"
E4.01.S1.R06.A,34.94832959,-118.0979068,0,"pink - black"
E4.01.S1.R07.A,34.94833096,-118.0978468,0,"pink - black"
E4.01.S1.R08.A,34.94833235,-118.0977867,0,"pink - black"
E4.01.S1.R09.A,34.94833372,-118.0977266,0,"pink - black"
E4.01.S1.R10.A,34.94833509,-118.0976666,0,"pink - black"
E4.01.S1.R11.A,34.94833645,-118.0976065,0,"pink - black"
E4.01.S1.R12.A,34.94833785,-118.0975464,0,"pink - black"
E4.01.S1.R13.A,34.94833921,-118.0974864,0,"pink - black"
E4.01.S1.R14.A,34.94834058,-118.0974263,0,"pink - black"
E4.01.S1.R15.A,34.94834195,-118.0973663,0,"pink - black"
E4.01.S1.R16.A,34.94834334,-118.0973062,0,"pink - black"
E4.01.S1.R17.A,34.94834471,-118.0972461,0,"pink - black"
E4.01.S1.R18.A,34.94834607,-118.0971861,0,"blue - black"
E4.01.S1.R19.A,34.94834744,-118.097126,0,"blue - black"
E4.01.S1.R20.A,34.94834884,-118.0970659,0,"blue - black"
E4.01.S1.R21.A,34.9483502,-118.0970059,0,"blue - black"
E4.01.S1.R22.A,34.94835157,-118.0969458,0,"blue - black"
E4.01.S1.R23.A,34.94835294,-118.0968857,0,"blue - black"
E4.01.S1.R24.A,34.9483543,-118.0968257,0,"blue - black"
E4.01.S1.R25.A,34.9483557,-118.0967656,0,"blue - black"
E4.01.S1.R26.A,34.94835706,-118.0967055,0,"blue - black"
E4.01.S1.R27.A,34.94835843,-118.0966455,0,"blue - black"
E4.01.S1.R28.A,34.9483598,-118.0965854,0,"blue - black"
E4.01.S1.R29.A,34.94836119,-118.0965253,0,"blue - black"
E4.01.S1.R30.A,34.94836256,-118.0964653,0,"blue - black"
E4.01.S1.R31.A,34.94836392,-118.0964052,0,"blue - black"
E4.01.S1.R32.A,34.94836529,-118.0963451,0,"blue - black"
E4.01.S1.R33.A,34.94836668,-118.0962851,0,"blue - black"
E4.01.S1.R34.A,34.94836805,-118.096225,0,"blue - black"
E4.01.S1.R35.A,34.94836941,-118.096165,0,"blue - black"
E4.01.S1.R36.A,34.94837078,-118.0961049,0,"blue - black"
E4.01.S1.R37.A,34.94837217,-118.0960448,0,"blue - black"
E4.01.S1.R37.B,34.94829079,-118.0960447,0,"blue - white"
E4.01.S1.R36.B,34.94828942,-118.0961048,0,"blue - white"
E4.01.S1.R35.B,34.94828806,-118.0961649,0,"blue - white"
E4.01.S1.R34.B,34.94828669,-118.0962249,0,"blue - white"
E4.01.S1.R33.B,34.9482853,-118.096285,0,"blue - white"
E4.01.S1.R32.B,34.94828393,-118.0963451,0,"blue - white"
E4.01.S1.R31.B,34.94828256,-118.0964051,0,"blue - white"
E4.01.S1.R30.B,34.9482812,-118.0964652,0,"blue - white"
E4.01.S1.R29.B,34.94827983,-118.0965252,0,"blue - white"
E4.01.S1.R28.B,34.94827844,-118.0965853,0,"blue - white"
E4.01.S1.R27.B,34.94827707,-118.0966454,0,"blue - white"
E4.01.S1.R26.B,34.9482757,-118.0967054,0,"blue - white"
E4.01.S1.R25.B,34.94827434,-118.0967655,0,"blue - white"
E4.01.S1.R24.B,34.94827294,-118.0968256,0,"blue - white"
E4.01.S1.R23.B,34.94827158,-118.0968856,0,"blue - white"
E4.01.S1.R22.B,34.94827021,-118.0969457,0,"blue - white"
E4.01.S1.R21.B,34.94826884,-118.0970058,0,"blue - white"
E4.01.S1.R20.B,34.94826745,-118.0970658,0,"blue - white"
