Pilecode,N,E
1.17.A.LBL,865615.658,692099.693
1.17.B.LGR,865630.658,692099.693
1.17.C.LBL,865645.658,692099.693
1.17.D.LBL,865660.658,692099.693
1.17.E.LBL,865615.658,692114.693
1.17.F.LBL,865630.658,692114.693
1.17.G.PRP,865645.658,692114.693
1.17.H.LBL,865660.658,692114.693
1.17.I.YEL,865615.658,692129.693
1.17.J.YEL,865630.658,692129.693
1.17.K.LGR,865645.658,692129.693
1.17.L.LBL,865660.658,692129.693
1.18.A.YEL,865615.658,692144.693
1.18.B.LGR,865630.658,692144.693
1.18.C.YEL,865645.658,692144.693
1.18.D.YEL,865660.658,692144.693
1.18.E.YEL,865615.658,692159.693
1.18.F.YEL,865630.658,692159.693
1.18.F.BRW,865645.658,692159.693
1.18.F.RED,865660.658,692159.693
