Name,Latitude,Longitude,Special WP,Dominant
1,35.0299244,-118.1382776,0,"yellow - black"
13,35.0299259,-118.1382123,0,"green - black"
25,35.0299274,-118.1381471,0,"green - black"
37,35.0299289,-118.1380819,0,"green - black"
49,35.0299305,-118.1380166,0,"green - black"
61,35.0299320,-118.1379514,0,"green - black"
73,35.0299335,-118.1378862,0,"green - black"
85,35.0299350,-118.1378209,0,"green - black"
97,35.0299365,-118.1377557,0,"green - black"
109,35.0299380,-118.1376905,0,"green - black"
121,35.0299395,-118.1376252,0,"green - black"
133,35.0299410,-118.1375600,0,"green - black"
145,35.0299425,-118.1374947,0,"green - black"
157,35.0299441,-118.1374295,0,"green - black"
169,35.0299456,-118.1373643,0,"green - black"
181,35.0299471,-118.1372990,0,"green - black"
193,35.0299486,-118.1372338,0,"green - black"
205,35.0299501,-118.1371686,0,"green - black"
217,35.0299516,-118.1371033,0,"green - black"
229,35.0299531,-118.1370381,0,"green - black"
241,35.0299546,-118.1369729,0,"green - black"
242,35.0298733,-118.1369727,0,"green - black"
230,35.0298717,-118.1370380,0,"green - black"
218,35.0298702,-118.1371032,0,"green - black"
206,35.0298687,-118.1371684,0,"green - black"
194,35.0298672,-118.1372337,0,"green - black"
182,35.0298657,-118.1372989,0,"green - black"
170,35.0298642,-118.1373641,0,"green - black"
158,35.0298627,-118.1374294,0,"green - black"
146,35.0298612,-118.1374946,0,"green - black"
134,35.0298597,-118.1375599,0,"green - black"
122,35.0298581,-118.1376251,0,"green - black"
110,35.0298566,-118.1376903,0,"green - black"
98,35.0298551,-118.1377556,0,"green - black"
86,35.0298536,-118.1378208,0,"green - black"
74,35.0298521,-118.1378860,0,"green - black"
62,35.0298506,-118.1379513,0,"green - black"
50,35.0298491,-118.1380165,0,"green - black"
38,35.0298476,-118.1380817,0,"green - black"
26,35.0298461,-118.1381470,0,"green - black"
14,35.0298445,-118.1382122,0,"yellow - black"
2,35.0298430,-118.1382774,0,"yellow - black"
3,35.0297617,-118.1382773,0,"yellow - black"
15,35.0297632,-118.1382121,0,"yellow - black"
27,35.0297647,-118.1381468,0,"blue"
39,35.0297662,-118.1380816,0,"blue"
51,35.0297677,-118.1380164,0,"blue"
63,35.0297692,-118.1379511,0,"blue"
75,35.0297707,-118.1378859,0,"blue"
87,35.0297722,-118.1378207,0,"blue"
99,35.0297738,-118.1377554,0,"blue"
111,35.0297753,-118.1376902,0,"blue"
123,35.0297768,-118.1376250,0,"purple"
135,35.0297783,-118.1375597,0,"purple"
147,35.0297798,-118.1374945,0,"blue"
159,35.0297813,-118.1374292,0,"purple"
171,35.0297828,-118.1373640,0,"purple"
183,35.0297843,-118.1372988,0,"blue"
195,35.0297858,-118.1372335,0,"blue"
207,35.0297874,-118.1371683,0,"blue"
