PILE ID,Pile Color,X,Y,Z
5.65-S1.R036.A,Orange,13689221.02,3012127.276,71.27175
5.65-S1.R036.B,Black,13689200.28,3012127.276,71.1749
5.65-S1.R036.C,Light Blue,13689172.8,3012127.276,71.04657608
5.65-S1.R036.D,Light Blue,13689145.32,3012127.276,70.91825217
5.65-S1.R036.E,Light Blue,13689117.84,3012127.276,70.78992825
5.65-S1.R036.F,Light Blue,13689090.36,3012127.276,70.66160434
5.65-S1.R036.G,Purple,13689063.59,3012127.276,70.53659593
5.65-S1.R036.H,Light Blue,13689036.82,3012127.276,70.41158751
5.65-S1.R036.I,Light Blue,13689009.34,3012127.276,70.2832636
5.65-S1.R036.J,Yellow,13688981.86,3012127.276,70.15493968
5.65-S1.R036.K,Yellow,13688954.38,3012127.276,70.02661577
5.65-S1.R036.L,Yellow,13688930.27,3012127.276,69.91402881
5.65-S1.R037.A,Light Blue,13689221.02,3012147.276,70.83755407
5.65-S1.R037.B,Light Green,13689200.28,3012147.276,70.74070407
5.65-S1.R037.C,Light Blue,13689172.8,3012147.276,70.61238016
5.65-S1.R037.D,Light Blue,13689145.32,3012147.276,70.48405624
5.65-S1.R037.E,Light Blue,13689117.84,3012147.276,70.35573233
5.65-S1.R037.F,Light Blue,13689090.36,3012147.276,70.22740841
5.65-S1.R037.G,Dark Blue,13689063.59,3012147.276,70.1024
5.65-S1.R037.H,Yellow,13689036.82,3012147.276,69.97739159
5.65-S1.R037.I,Yellow,13689009.34,3012147.276,69.84906767
5.65-S1.R037.J,Yellow,13688981.86,3012147.276,69.72074376
5.65-S1.R037.K,Yellow,13688954.38,3012147.276,69.59241984
5.65-S1.R037.L,Yellow,13688930.27,3012147.276,69.47983288
5.65-S1.R038.A,Light Blue,13689221.02,3012167.276,70.83755407
5.65-S1.R038.B,Light Green,13689200.28,3012167.276,70.74070407
5.65-S1.R038.C,Light Blue,13689172.8,3012167.276,70.61238016
5.65-S1.R038.D,Light Blue,13689145.32,3012167.276,70.48405624
5.65-S1.R038.E,Light Blue,13689117.84,3012167.276,70.35573233
5.65-S1.R038.F,Yellow,13689090.36,3012167.276,70.22740841
5.65-S1.R038.G,Dark Blue,13689063.59,3012167.276,70.1024
5.65-S1.R038.H,Yellow,13689036.82,3012167.276,69.97739159
5.65-S1.R038.I,Yellow,13689009.34,3012167.276,69.84906767
5.65-S1.R038.J,Yellow,13688981.86,3012167.276,69.72074376
5.65-S1.R038.K,Yellow,13688954.38,3012167.276,69.59241984
5.65-S1.R038.L,Yellow,13688930.27,3012167.276,69.47983288
5.65-S1.R039.A,Light Blue,13689221.02,3012187.276,70.83755407
5.65-S1.R039.B,Light Green,13689200.28,3012187.276,70.74070407
5.65-S1.R039.C,Light Blue,13689172.8,3012187.276,70.61238016
5.65-S1.R039.D,Light Blue,13689145.32,3012187.276,70.48405624
5.65-S1.R039.E,Light Blue,13689117.84,3012187.276,70.35573233
5.65-S1.R039.F,Light Blue,13689090.36,3012187.276,70.22740841
5.65-S1.R039.G,Dark Blue,13689063.59,3012187.276,70.1024
5.65-S1.R039.H,Yellow,13689036.82,3012187.276,69.97739159
5.65-S1.R039.I,Yellow,13689009.34,3012187.276,69.84906767
5.65-S1.R039.J,Yellow,13688981.86,3012187.276,69.72074376
5.65-S1.R039.K,Yellow,13688954.38,3012187.276,69.59241984
5.65-S1.R039.L,Yellow,13688930.27,3012187.276,69.47983288
5.65-S1.R040.A,Orange,13689221.02,3012207.276,71.14785
5.65-S1.R040.B,Black,13689200.28,3012207.276,71.051
5.65-S1.R040.C,Light Blue,13689172.8,3012207.276,70.92267608
5.65-S1.R040.D,Light Blue,13689145.32,3012207.276,70.79435217
5.65-S1.R040.E,Light Blue,13689117.84,3012207.276,70.66602825
5.65-S1.R040.F,Light Blue,13689090.36,3012207.276,70.53770434
5.65-S1.R040.G,Dark Blue,13689063.59,3012207.276,70.41269593
5.65-S1.R040.H,Light Blue,13689036.82,3012207.276,70.28768751
5.65-S1.R040.I,Light Blue,13689009.34,3012207.276,70.1593636
5.65-S1.R040.J,Light Blue,13688981.86,3012207.276,70.03103968
5.65-S1.R040.K,Yellow,13688954.38,3012207.276,69.90271577
5.65-S1.R040.L,Yellow,13688930.27,3012207.276,69.79012881
5.65-S1.R041.A,Orange,13689221.02,3012227.276,71.14785
5.65-S1.R041.B,Black,13689200.28,3012227.276,71.051
5.65-S1.R041.C,Orange,13689172.8,3012227.276,70.92267608
5.65-S1.R041.D,Light Blue,13689145.32,3012227.276,70.79435217
5.65-S1.R041.E,Light Blue,13689117.84,3012227.276,70.66602825
5.65-S1.R041.F,Light Blue,13689090.36,3012227.276,70.53770434
5.65-S1.R041.G,Dark Blue,13689063.59,3012227.276,70.41269593
5.65-S1.R041.H,Light Blue,13689036.82,3012227.276,70.28768751
5.65-S1.R041.I,Light Blue,13689009.34,3012227.276,70.1593636
5.65-S1.R041.J,Light Blue,13688981.86,3012227.276,70.03103968
5.65-S1.R041.K,Yellow,13688954.38,3012227.276,69.90271577
5.65-S1.R041.L,Yellow,13688930.27,3012227.276,69.79012881
5.65-S1.R042.A,Orange,13689221.02,3012247.276,71.14785
5.65-S1.R042.B,Black,13689200.28,3012247.276,71.051
5.65-S1.R042.C,Light Blue,13689172.8,3012247.276,70.92267608
5.65-S1.R042.D,Light Blue,13689145.32,3012247.276,70.79435217
5.65-S1.R042.E,Light Blue,13689117.84,3012247.276,70.66602825
5.65-S1.R042.F,Light Blue,13689090.36,3012247.276,70.53770434
5.65-S1.R042.G,Dark Blue,13689063.59,3012247.276,70.41269593
5.65-S1.R042.H,Light Blue,13689036.82,3012247.276,70.28768751
5.65-S1.R042.I,Light Blue,13689009.34,3012247.276,70.1593636
5.65-S1.R042.J,Yellow,13688981.86,3012247.276,70.03103968
5.65-S1.R042.K,Yellow,13688954.38,3012247.276,69.90271577
5.65-S1.R042.L,Yellow,13688930.27,3012247.276,69.79012881
5.65-S1.R043.A,Orange,13689221.02,3012267.276,71.14785
5.65-S1.R043.B,Black,13689200.28,3012267.276,71.051
5.65-S1.R043.C,Light Blue,13689172.8,3012267.276,70.92267608
5.65-S1.R043.D,Light Blue,13689145.32,3012267.276,70.79435217
5.65-S1.R043.E,Light Blue,13689117.84,3012267.276,70.66602825
5.65-S1.R043.F,Light Blue,13689090.36,3012267.276,70.53770434
5.65-S1.R043.G,Dark Blue,13689063.59,3012267.276,70.41269593
5.65-S1.R043.H,Light Blue,13689036.82,3012267.276,70.28768751
5.65-S1.R043.I,Light Blue,13689009.34,3012267.276,70.1593636
5.65-S1.R043.J,Yellow,13688981.86,3012267.276,70.03103968
5.65-S1.R043.K,Yellow,13688954.38,3012267.276,69.90271577
5.65-S1.R043.L,Yellow,13688930.27,3012267.276,69.79012881
5.65-S1.R044.A,Orange,13689221.02,3012287.276,71.14785
5.65-S1.R044.B,Black,13689200.28,3012287.276,71.051
5.65-S1.R044.C,Orange,13689172.8,3012287.276,70.92267608
5.65-S1.R044.D,Orange,13689145.32,3012287.276,70.79435217
5.65-S1.R044.E,Light Blue,13689117.84,3012287.276,70.66602825
5.65-S1.R044.F,Light Blue,13689090.36,3012287.276,70.53770434
5.65-S1.R044.G,Dark Blue,13689063.59,3012287.276,70.41269593
5.65-S1.R044.H,Light Blue,13689036.82,3012287.276,70.28768751
5.65-S1.R044.I,Light Blue,13689009.34,3012287.276,70.1593636
5.65-S1.R044.J,Yellow,13688981.86,3012287.276,70.03103968
5.65-S1.R044.K,Light Blue,13688954.38,3012287.276,69.90271577
5.65-S1.R044.L,Yellow,13688930.27,3012287.276,69.79012881
5.65-S1.R045.A,Orange,13689221.02,3012307.276,71.14785
5.65-S1.R045.B,Black,13689200.28,3012307.276,71.051
5.65-S1.R045.C,Orange,13689172.8,3012307.276,70.92267608
5.65-S1.R045.D,Orange,13689145.32,3012307.276,70.79435217
5.65-S1.R045.E,Light Blue,13689117.84,3012307.276,70.66602825
5.65-S1.R045.F,Light Blue,13689090.36,3012307.276,70.53770434
5.65-S1.R045.G,Pink,13689063.59,3012307.276,70.41269593
5.65-S1.R045.H,Light Blue,13689036.82,3012307.276,70.28768751
5.65-S1.R045.I,Light Blue,13689009.34,3012307.276,70.1593636
5.65-S1.R045.J,Light Blue,13688981.86,3012307.276,70.03103968
