X,Y,PILE ID,Pile Color,X,Y,Z
-93.9959349681843,34.9194861020136,5.65-S1.R036.A,Orange,13689221.02,3012127.276,71.27175
-93.9960021906177,34.9194995817574,5.65-S1.R036.B,Black,13689200.28,3012127.276,71.1749
-93.9960912587551,34.9195174420359,5.65-S1.R036.C,Light Blue,13689172.8,3012127.276,71.04657608
-93.9961803269309,34.9195353022494,5.65-S1.R036.D,Light Blue,13689145.32,3012127.276,70.91825217
-93.9962693951452,34.9195531623978,5.65-S1.R036.E,Light Blue,13689117.84,3012127.276,70.78992825
-93.9963584633978,34.9195710224811,5.65-S1.R036.F,Light Blue,13689090.36,3012127.276,70.66160434
-93.9964452304335,34.9195884210514,5.65-S1.R036.G,Purple,13689063.59,3012127.276,70.53659593
-93.9965319975056,34.9196058195598,5.65-S1.R036.H,Light Blue,13689036.82,3012127.276,70.41158751
-93.9966210658716,34.9196236794513,5.65-S1.R036.I,Light Blue,13689009.34,3012127.276,70.2832636
-93.996710134276,34.9196415392776,5.65-S1.R036.J,Yellow,13688981.86,3012127.276,70.15493968
-93.9967992027188,34.9196593990389,5.65-S1.R036.K,Yellow,13688954.38,3012127.276,70.02661577
-93.9968773483165,34.9196750685212,5.65-S1.R036.L,Yellow,13688930.27,3012127.276,69.91402881
-93.9959191866531,34.9195394957131,5.65-S1.R037.A,Light Blue,13689221.02,3012147.276,70.83755407
-93.9959864091273,34.9195529754655,5.65-S1.R037.B,Light Green,13689200.28,3012147.276,70.74070407
-93.9960754773187,34.9195708357554,5.65-S1.R037.C,Light Blue,13689172.8,3012147.276,70.61238016
-93.9961645455486,34.9195886959801,5.65-S1.R037.D,Light Blue,13689145.32,3012147.276,70.48405624
-93.9962536138168,34.9196065561398,5.65-S1.R037.E,Light Blue,13689117.84,3012147.276,70.35573233
-93.9963426821236,34.9196244162345,5.65-S1.R037.F,Light Blue,13689090.36,3012147.276,70.22740841
-93.9964294492118,34.9196418148157,5.65-S1.R037.G,Dark Blue,13689063.59,3012147.276,70.1024
-93.9965162163366,34.9196592133352,5.65-S1.R037.H,Yellow,13689036.82,3012147.276,69.97739159
-93.9966052847566,34.919677073238,5.65-S1.R037.I,Yellow,13689009.34,3012147.276,69.84906767
-93.996694353215,34.9196949330757,5.65-S1.R037.J,Yellow,13688981.86,3012147.276,69.72074376
-93.9967834217119,34.9197127928483,5.65-S1.R037.K,Yellow,13688954.38,3012147.276,69.59241984
-93.9968615673571,34.9197284623405,5.65-S1.R037.L,Yellow,13688930.27,3012147.276,69.47983288
-93.9959034051015,34.91959288941,5.65-S1.R038.A,Light Blue,13689221.02,3012167.276,70.83755407
-93.9959706276165,34.919606369171,5.65-S1.R038.B,Light Green,13689200.28,3012167.276,70.74070407
-93.996059695862,34.9196242294721,5.65-S1.R038.C,Light Blue,13689172.8,3012167.276,70.61238016
-93.9961487641459,34.9196420897082,5.65-S1.R038.D,Light Blue,13689145.32,3012167.276,70.48405624
-93.9962378324682,34.9196599498792,5.65-S1.R038.E,Light Blue,13689117.84,3012167.276,70.35573233
-93.9963269008289,34.9196778099852,5.65-S1.R038.F,Yellow,13689090.36,3012167.276,70.22740841
-93.9964136679699,34.9196952085775,5.65-S1.R038.G,Dark Blue,13689063.59,3012167.276,70.1024
-93.9965004351472,34.919712607108,5.65-S1.R038.H,Yellow,13689036.82,3012167.276,69.97739159
-93.9965895036213,34.9197304670221,5.65-S1.R038.I,Yellow,13689009.34,3012167.276,69.84906767
-93.9966785721338,34.9197483268711,5.65-S1.R038.J,Yellow,13688981.86,3012167.276,69.72074376
-93.9967676406847,34.919766186655,5.65-S1.R038.K,Yellow,13688954.38,3012167.276,69.59241984
-93.9968457863772,34.9197818561571,5.65-S1.R038.L,Yellow,13688930.27,3012167.276,69.47983288
-93.9958876235296,34.9196462831043,5.65-S1.R039.A,Light Blue,13689221.02,3012187.276,70.83755407
-93.9959548460854,34.9196597628738,5.65-S1.R039.B,Light Green,13689200.28,3012187.276,70.74070407
-93.9960439143849,34.9196776231862,5.65-S1.R039.C,Light Blue,13689172.8,3012187.276,70.61238016
-93.9961329827228,34.9196954834336,5.65-S1.R039.D,Light Blue,13689145.32,3012187.276,70.48405624
-93.9962220510991,34.919713343616,5.65-S1.R039.E,Light Blue,13689117.84,3012187.276,70.35573233
-93.9963111195139,34.9197312037332,5.65-S1.R039.F,Light Blue,13689090.36,3012187.276,70.22740841
-93.9963978867075,34.9197486023365,5.65-S1.R039.G,Dark Blue,13689063.59,3012187.276,70.1024
-93.9964846539375,34.9197660008781,5.65-S1.R039.H,Yellow,13689036.82,3012187.276,69.97739159
-93.9965737224656,34.9197838608035,5.65-S1.R039.I,Yellow,13689009.34,3012187.276,69.84906767
-93.9966627910321,34.9198017206638,5.65-S1.R039.J,Yellow,13688981.86,3012187.276,69.72074376
-93.9967518596371,34.919819580459,5.65-S1.R039.K,Yellow,13688954.38,3012187.276,69.59241984
-93.996830005377,34.919835249971,5.65-S1.R039.L,Yellow,13688930.27,3012187.276,69.47983288
-93.9958718419373,34.9196996767959,5.65-S1.R040.A,Orange,13689221.02,3012207.276,71.14785
-93.9959390645339,34.9197131565739,5.65-S1.R040.B,Black,13689200.28,3012207.276,71.051
-93.9960281328874,34.9197310168977,5.65-S1.R040.C,Light Blue,13689172.8,3012207.276,70.92267608
-93.9961172012794,34.9197488771564,5.65-S1.R040.D,Light Blue,13689145.32,3012207.276,70.79435217
-93.9962062697098,34.91976673735,5.65-S1.R040.E,Light Blue,13689117.84,3012207.276,70.66602825
-93.9962953381786,34.9197845974786,5.65-S1.R040.F,Light Blue,13689090.36,3012207.276,70.53770434
-93.9963821054248,34.9198019960929,5.65-S1.R040.G,Dark Blue,13689063.59,3012207.276,70.41269593
-93.9964688727075,34.9198193946455,5.65-S1.R040.H,Light Blue,13689036.82,3012207.276,70.28768751
-93.9965579412896,34.9198372545822,5.65-S1.R040.I,Light Blue,13689009.34,3012207.276,70.1593636
-93.9966470099101,34.9198551144538,5.65-S1.R040.J,Light Blue,13688981.86,3012207.276,70.03103968
-93.9967360785691,34.9198729742604,5.65-S1.R040.K,Yellow,13688954.38,3012207.276,69.90271577
-93.9968142243565,34.9198886437823,5.65-S1.R040.L,Yellow,13688930.27,3012207.276,69.79012881
